pp,wk,ve,tot
20,0,0,121.66953098851597
20,0,1,121.69236811098408
20,0,2,121.71520523345218
20,0,3,121.73804235592027
20,0,4,121.76087947838838
20,0,5,121.78371660085648
20,0,6,121.80655372332458
20,0,7,121.82939084579269
20,0,8,121.85222796826078
20,0,9,121.87506509072888
20,0,10,121.89790221319697
20,0,11,121.92073933566508
20,0,12,121.94357645813318
20,0,13,121.96641358060128
20,0,14,121.98925070306939
20,0,15,122.01208782553748
20,0,16,122.03492494800558
20,0,17,122.05776207047369
20,0,18,122.08059919294178
20,0,19,122.10343631540988
20,0,20,122.12627343787798
20,0,21,122.14911056034609
20,0,22,122.17194768281419
20,0,23,122.19478480528228
20,0,24,122.21762192775039
20,0,25,122.24045905021849
20,0,26,122.26329617268658
20,0,27,122.28613329515468
20,0,28,122.30897041762279
20,0,29,122.33180754009089
20,0,30,122.35464466255898
20,0,31,122.37748178502709
20,0,32,122.40031890749519
20,0,33,122.42315602996328
20,0,34,122.44599315243138
20,0,35,122.46883027489949
20,0,36,122.49166739736759
20,0,37,122.5145045198357
20,0,38,122.53734164230379
20,0,39,122.56017876477189
20,0,40,122.58301588724
20,0,41,122.60585300970808
20,0,42,122.62869013217619
20,0,43,122.6515272546443
20,0,44,122.6743643771124
20,1,0,119.66427523304563
20,1,1,119.68711235551373
20,1,2,119.70994947798184
20,1,3,119.73278660044993
20,1,4,119.75562372291803
20,1,5,119.77846084538614
20,1,6,119.80129796785423
20,1,7,119.82413509032233
20,1,8,119.84697221279043
20,1,9,119.86980933525854
20,1,10,119.89264645772663
20,1,11,119.91548358019473
20,1,12,119.93832070266284
20,1,13,119.96115782513093
20,1,14,119.98399494759903
20,1,15,120.00683207006713
20,1,16,120.02966919253524
20,1,17,120.05250631500334
20,1,18,120.07534343747143
20,1,19,120.09818055993954
20,1,20,120.12101768240764
20,1,21,120.14385480487573
20,1,22,120.16669192734383
20,1,23,120.18952904981194
20,1,24,120.21236617228004
20,1,25,120.23520329474815
20,1,26,120.25804041721624
20,1,27,120.28087753968434
20,1,28,120.30371466215244
20,1,29,120.32655178462053
20,1,30,120.34938890708864
20,1,31,120.37222602955674
20,1,32,120.39506315202485
20,1,33,120.41790027449294
20,1,34,120.44073739696104
20,1,35,120.46357451942914
20,1,36,120.48641164189723
20,1,37,120.50924876436534
20,1,38,120.53208588683344
20,1,39,120.55492300930155
