match_id,innings,batting_team,match_won_by,powerplay_runs,powerplay_wickets,powerplay_control,middle_runs,middle_wickets,middle_control,death_runs,death_wickets,death_control,venue,Total,res,venue_encoded,exp score,exp score after powerplay,delta,deviation from expectation
335982,1,Kolkata Knight Riders,Kolkata Knight Riders,61,1,won,93,1,won,68,1,won,M Chinnaswamy Stadium,222,1,21,179.02,179.02,42.97999999999999,42.97999999999999
335982,2,Royal Challengers Banglore,Kolkata Knight Riders,26,4,lost,55,4,lost,1,1,lost,M Chinnaswamy Stadium,82,0,21,122.74,122.74,-40.739999999999995,-40.739999999999995
335983,1,Chennai Super Kings,Chennai Super Kings,53,1,lost,108,3,won,79,1,won,Punjab Cricket Association IS Bindra Stadium,240,1,32,167.78,167.78,72.22,72.22
335983,2,Punjab Kings /Kings XI Punjab,Chennai Super Kings,63,1,won,102,2,lost,42,1,lost,Punjab Cricket Association IS Bindra Stadium,207,0,32,182.14,182.14,24.860000000000014,24.860000000000014
335984,1,Rajasthan Royals,Delhi Capitals/Daredevils,40,1,lost,56,4,lost,33,1,won,Arun Jaitley Stadium,129,0,3,148.45,148.45,-19.44999999999999,-19.44999999999999
335984,2,Delhi Capitals/Daredevils,Delhi Capitals/Daredevils,55,1,won,73,0,won,4,0,lost,Arun Jaitley Stadium,132,1,3,169.99,169.99,-37.99000000000001,-37.99000000000001
335985,1,Mumbai Indians,Royal Challengers Banglore,47,1,won,58,1,lost,60,3,won,Wankhede Stadium,165,0,44,159.44,159.44,5.560000000000002,5.560000000000002
335985,2,Royal Challengers Banglore,Royal Challengers Banglore,40,1,lost,78,3,won,48,1,lost,Wankhede Stadium,166,1,44,149.39,149.39,16.610000000000014,16.610000000000014
335986,1,Deccan Chargers,Kolkata Knight Riders,39,2,won,38,4,lost,33,3,won,Eden Gardens,110,0,14,145.26,145.26,-35.25999999999999,-35.25999999999999
335986,2,Kolkata Knight Riders,Kolkata Knight Riders,26,3,lost,55,1,won,31,1,lost,Eden Gardens,112,1,14,124.59,124.59,-12.590000000000003,-12.590000000000003
335987,1,Punjab Kings /Kings XI Punjab,Rajasthan Royals,54,1,won,61,3,lost,51,3,won,Sawai Mansingh Stadium,166,0,36,169.31,169.31,-3.3100000000000023,-3.3100000000000023
335987,2,Rajasthan Royals,Rajasthan Royals,53,3,lost,89,1,won,26,0,lost,Sawai Mansingh Stadium,168,1,36,163.86,163.86,4.139999999999986,4.139999999999986
335988,1,Deccan Chargers,Delhi Capitals/Daredevils,25,2,lost,48,3,lost,69,2,won,Rajiv Gandhi International Staidum,142,0,33,125.59,125.59,16.409999999999997,16.409999999999997
335988,2,Delhi Capitals/Daredevils,Delhi Capitals/Daredevils,48,1,won,95,0,won,0,0,lost,Rajiv Gandhi International Staidum,143,1,33,160.63,160.63,-17.629999999999995,-17.629999999999995
335989,1,Chennai Super Kings,Chennai Super Kings,53,2,won,90,1,won,65,1,lost,MA Chidambaram Stadium,208,1,22,165.55,165.55,42.44999999999999,42.44999999999999
335989,2,Mumbai Indians,Chennai Super Kings,52,1,lost,82,3,lost,68,2,won,MA Chidambaram Stadium,202,0,22,166.12,166.12,35.879999999999995,35.879999999999995
335990,1,Deccan Chargers,Rajasthan Royals,58,2,lost,90,1,won,66,2,won,Rajiv Gandhi International Staidum,214,0,33,172.98,172.98,41.02000000000001,41.02000000000001
335990,2,Rajasthan Royals,Rajasthan Royals,73,1,won,86,2,lost,58,3,lost,Rajiv Gandhi International Staidum,217,1,33,196.52,196.52,20.47999999999999,20.47999999999999
335991,1,Punjab Kings /Kings XI Punjab,Punjab Kings /Kings XI Punjab,60,1,won,78,2,won,44,5,won,Punjab Cricket Association IS Bindra Stadium,182,1,32,177.83,177.83,4.1699999999999875,4.1699999999999875
335991,2,Mumbai Indians,Punjab Kings /Kings XI Punjab,39,1,lost,62,5,lost,15,2,lost,Punjab Cricket Association IS Bindra Stadium,116,0,32,147.68,147.68,-31.680000000000007,-31.680000000000007
335992,1,Royal Challengers Banglore,Rajasthan Royals,57,2,won,38,4,lost,40,0,won,M Chinnaswamy Stadium,135,0,21,171.27,171.27,-36.27000000000001,-36.27000000000001
335992,2,Rajasthan Royals,Rajasthan Royals,45,2,lost,76,0,won,17,1,lost,M Chinnaswamy Stadium,138,1,21,154.04,154.04,-16.039999999999992,-16.039999999999992
