batter,st_wo_bdry,strike_r,bdry_percent,runs
"V Kohli",67.83,129.86,56.1411,8899
"RG Sharma",58.79,129.20,62.3939,7185
"S Dhawan",60.72,123.45,59.0929,6769
"DA Warner",63.16,135.43,62.0222,6567
"SK Raina",65.87,132.54,58.7608,5536
"MS Dhoni",68.02,132.63,56.7016,5439
"KL Rahul",66.01,133.05,58.7729,5346
"AM Rahane",64.16,122.26,55.6327,5184
"AB de Villiers",71.17,148.58,61.2623,5181
"CH Gayle",44.05,142.12,75.7655,4997
"RV Uthappa",58.97,126.15,61.1829,4954
"SV Samson",64.98,136.34,60.6873,4889
"KD Karthik",65.36,131.35,58.7446,4843
"F du Plessis",65.54,132.40,58.9566,4773
"SA Yadav",63.82,145.54,65.3385,4417
"AT Rayudu",63.35,124.58,56.8997,4348
"JC Buttler",60.53,144.73,66.9537,4297
"G Gambhir",63.74,119.67,55.0628,4217
"Shubman Gill",70.00,135.13,57.1074,4031
"MK Pandey",64.92,117.76,52.4171,3951
"SS Iyer",64.27,130.48,58.8370,3938
"SR Watson",52.80,134.16,68.3763,3880
"RR Pant",62.52,141.70,64.4959,3670
"KA Pollard",60.17,140.46,64.9695,3437
"Q de Kock",58.27,131.84,63.9019,3424
"RA Jadeja",71.13,124.57,50.6595,3336
"YK Pathan",63.04,138.05,62.6319,3222
"Ishan Kishan",57.78,136.58,65.8985,3211
"DA Miller",70.16,134.07,55.8935,3156
"WP Saha",61.86,123.90,58.1459,2934
"BB McCullum",50.30,126.85,67.7307,2882
"N Rana",53.96,131.43,66.5855,2873
"PA Patel",53.72,116.63,61.7626,2848
"HH Pandya",63.87,140.89,63.0151,2839
"GJ Maxwell",60.25,148.73,68.0142,2820
"MA Agarwal",59.58,128.80,61.8669,2764
"Yuvraj Singh",53.70,124.78,64.1249,2754
"V Sehwag",54.27,148.83,72.2874,2728
"AD Russell",46.79,163.28,78.5687,2655
"M Vijay",57.78,118.61,58.7629,2619
"RD Gaikwad",65.52,133.11,59.2593,2565
"SPD Smith",71.86,124.81,50.6613,2495
"SE Marsh",60.06,130.11,62.2338,2489
"JH Kallis",57.16,105.94,53.1108,2427
"DR Smith",48.47,132.28,70.7338,2385
"YBK Jaiswal",52.30,149.02,73.3617,2350
"N Pooran",58.48,156.71,70.9208,2335
"SR Tendulkar",56.78,114.19,58.1834,2334
"RA Tripathi",62.10,134.21,62.2436,2291
"R Dravid",56.83,113.35,57.6817,2174
"KS Williamson",67.14,122.95,53.3302,2132
"AJ Finch",54.70,123.35,63.2887,2092
