bowler,innings,wickets,average,strike_rate,economy,class
"YS Chahal",176,220,22.73,17.59,7.76,elite
"B Kumar",195,205,26.20,21.18,7.42,elite
"SP Narine",191,195,25.32,22.77,6.67,elite
"PP Chawla",191,189,26.59,20.37,7.83,elite
"JJ Bumrah",150,186,21.72,18.67,6.98,elite
"DJ Bravo",158,183,22.73,17.05,8.00,"runs-wickets trader"
"R Ashwin",217,183,29.79,25.74,6.95,Choker
"A Mishra",162,173,23.37,19.49,7.20,elite
"RA Jadeja",228,172,29.90,23.83,7.53,Choker
"SL Malinga",122,170,18.68,16.63,6.74,elite
"Rashid Khan",140,163,23.52,20.23,6.98,elite
"HV Patel",119,151,22.86,16.36,8.39,"runs-wickets trader"
"Sandeep Sharma",141,151,27.23,20.83,7.84,elite
"Harbhajan Singh",160,146,26.88,23.40,6.89,Choker
"UT Yadav",147,144,28.83,21.22,8.15,"runs-wickets trader"
"TA Boult",122,144,25.96,19.03,8.18,"runs-wickets trader"
"Mohammed Shami",124,137,27.26,19.91,8.21,"runs-wickets trader"
"MM Sharma",119,134,25.55,17.93,8.55,"runs-wickets trader"
"AR Patel",164,131,31.49,25.99,7.27,economist
"K Rabada",88,126,22.10,15.88,8.35,"runs-wickets trader"
"AD Russell",121,123,22.41,14.68,9.16,"runs-wickets trader"
"JD Unadkat",115,114,30.09,20.62,8.75,"runs-wickets trader"
"SN Thakur",107,114,28.53,18.89,9.06,"runs-wickets trader"
"Mohammed Siraj",112,112,29.24,21.29,8.24,"runs-wickets trader"
"A Nehra",88,106,22.69,18.00,7.56,elite
"R Vinay Kumar",104,105,27.60,20.26,8.17,"runs-wickets trader"
"Kuldeep Yadav",100,104,27.40,20.60,7.98,elite
"Z Khan",99,102,26.38,21.57,7.34,elite
"Arshdeep Singh",86,102,25.45,17.86,8.55,"runs-wickets trader"
"CV Varun",86,99,24.61,19.62,7.53,elite
"KH Pandya",137,98,31.01,25.51,7.29,economist
"DW Steyn",95,97,24.67,22.49,6.58,elite
"I Sharma",117,96,33.19,25.20,7.90,economist
"CH Morris",81,96,23.02,17.98,7.68,elite
"Avesh Khan",79,93,26.85,18.31,8.80,"runs-wickets trader"
"SR Watson",105,92,27.85,22.05,7.58,elite
"KK Ahmed",76,91,26.09,18.21,8.60,"runs-wickets trader"
"P Kumar",119,90,34.51,28.04,7.38,economist
"RP Singh",82,90,24.64,19.72,7.50,elite
"DL Chahar",98,89,28.92,21.96,7.90,elite
"PP Ojha",90,88,25.63,21.58,7.12,elite
"DS Kulkarni",92,86,27.37,20.78,7.90,elite
"JA Morkel",87,85,26.44,20.27,7.82,elite
"M Prasidh Krishna",70,85,26.32,18.84,8.38,"runs-wickets trader"
"KV Sharma",87,82,26.70,19.33,8.29,"runs-wickets trader"
"Imran Tahir",59,82,20.22,16.05,7.56,elite
"Ravi Bishnoi",81,81,28.57,21.35,8.03,"runs-wickets trader"
"IK Pathan",101,80,32.09,25.54,7.54,economist
"HH Pandya",111,80,31.60,21.25,8.92,"expensive wicket taker"
"PJ Cummins",72,79,28.95,20.47,8.49,"runs-wickets trader"
"M Morkel",70,77,25.91,21.16,7.35,elite
"L Balaji",73,76,25.57,19.89,7.71,elite
"RD Chahar",79,75,28.69,22.59,7.62,elite
"MM Patel",63,74,22.26,18.31,7.29,elite
"T Natarajan",67,73,28.66,19.89,8.64,"runs-wickets trader"
"R Bhatia",91,71,27.94,23.04,7.28,Choker
"MJ McClenaghan",56,71,23.86,17.94,7.98,elite
"AB Dinda",75,69,28.42,21.97,7.76,elite
"KA Pollard",107,68,30.51,21.88,8.37,"expensive wicket taker"
"JC Archer",57,66,25.18,20.00,7.55,elite
"JH Kallis",89,65,34.00,26.80,7.61,economist
"SK Trivedi",75,65,28.05,23.17,7.26,Choker
"MA Starc",50,65,22.06,16.37,8.09,"runs-wickets trader"
"Mustafizur Rahman",60,65,27.37,20.98,7.83,elite
"M Muralitharan",66,64,25.64,23.88,6.44,Choker
