team,season,runs_scored,bat_rr,highest_score,boundries,runs_conceded,bowl_rr,wickets,wins,champions,season
"Rajasthan Royals",2007/08,2601,8.3858,217,344,2403,7.5924,96,13,"Rajasthan Royals",2007/08
"Deccan Chargers",2009,2408,7.6444,184,272,2387,7.2664,97,9,"Deccan Chargers",2009
"Chennai Super Kings",2009/10,2604,8.0082,246,311,2517,7.6505,90,9,"Chennai Super Kings",2009/10
"Chennai Super Kings",2011,2560,7.8891,205,296,2300,7.3639,83,11,"Chennai Super Kings",2011
"Kolkata Knight Riders",2012,2504,7.4266,192,280,2366,6.9759,95,12,"Kolkata Knight Riders",2012
"Mumbai Indians",2013,2975,7.7206,209,372,2832,7.4233,117,13,"Mumbai Indians",2013
"Kolkata Knight Riders",2014,2499,7.9798,200,302,2455,7.5538,83,11,"Kolkata Knight Riders",2014
"Mumbai Indians",2015,2734,8.3951,209,362,2694,8.2301,86,10,"Mumbai Indians",2015
"Sunrisers Hyderabad",2016,2673,7.8850,208,321,2580,7.7168,88,11,"Sunrisers Hyderabad",2016
"Mumbai Indians",2017,2800,8.1831,223,344,2645,7.6593,99,11,"Mumbai Indians",2017
"Chennai Super Kings",2018,2809,8.6122,211,358,2750,8.3714,90,11,"Chennai Super Kings",2018
"Mumbai Indians",2019,2670,8.2492,198,346,2569,7.9249,93,10,"Mumbai Indians",2019
"Mumbai Indians",2020/21,2758,8.8068,208,362,2517,7.6933,96,11,"Mumbai Indians",2020/21
"Chennai Super Kings",2021,2733,8.4135,220,347,2555,7.8980,96,11,"Chennai Super Kings",2021
"Gujarat Titans",2022,2663,8.1065,199,329,2534,7.9727,90,12,"Gujarat Titans",2022
"Chennai Super Kings",2023,2712,9.0200,235,330,2728,8.1881,105,10,"Chennai Super Kings",2023
"Kolkata Knight Riders",2024,2667,10.0389,272,379,2407,8.7474,104,11,"Kolkata Knight Riders",2024
"Royal Challengers Banglore",2025,2653,9.2925,230,364,2606,9.0017,91,11,"Royal Challengers Banglore",2025
