batter,no_start,failed_conversion,converted,start_conversion_percentage
"Kamran Akmal",5,0,1,100.00
"S Anirudha",11,0,1,100.00
"PD Collingwood",4,0,3,100.00
"TK Curran",9,0,1,100.00
"Aman Hakim Khan",9,0,1,100.00
"Arshad Khan",9,0,1,100.00
"Vivrant Sharma",0,0,1,100.00
"D Ferreira",4,0,1,100.00
"JG Bethell",1,0,1,100.00
"Sameer Rizvi",9,1,3,75.00
"LMP Simmons",12,5,12,70.59
"JR Hopes",13,2,4,66.67
"KR Mayers",7,2,4,66.67
"DA Warner",81,38,65,63.11
"HM Amla",8,3,5,62.50
"DP Conway",12,6,10,62.50
"Priyansh Arya",14,3,5,62.50
"PC Valthaty",18,2,3,60.00
"J Fraser-McGurk",10,2,3,60.00
"KL Rahul",60,33,46,58.23
"MEK Hussey",29,13,16,55.17
"PD Salt",19,9,11,55.00
"PP Shaw",53,12,14,53.85
"CH Gayle",71,33,37,52.86
"SE Marsh",29,19,21,52.50
"RD Gaikwad",33,20,22,52.38
"G Gambhir",85,32,34,51.52
"AB de Villiers",89,40,41,50.62
"Salman Butt",5,1,1,50.00
"S Vidyut",6,1,1,50.00
"NK Patel",4,1,1,50.00
"JD Ryder",21,4,4,50.00
"RJ Quiney",5,1,1,50.00
"OA Shah",14,4,4,50.00
"AP Tare",25,1,1,50.00
"AA Jhunjhunwala",13,1,1,50.00
"AC Blizzard",5,1,1,50.00
"BB Samantray",6,1,1,50.00
"JC Buttler",59,32,32,50.00
"SN Thakur",39,1,1,50.00
"Shubman Gill",53,32,32,50.00
"B Sai Sudharsan",14,15,15,50.00
"PN Mankad",3,1,1,50.00
"HC Brook",9,1,1,50.00
"Atharva Taide",6,2,2,50.00
"WG Jacks",13,3,3,50.00
"V Suryavanshi",4,4,4,50.00
"MD Choudhary",3,1,1,50.00
"C Connolly",2,1,1,50.00
"V Kohli",122,72,70,49.30
"Q de Kock",64,27,25,48.08
"TM Head",23,10,9,47.37
"LS Livingstone",33,8,7,46.67
"SM Curran",40,7,6,46.15
"MR Marsh",32,12,10,45.45
"YBK Jaiswal",35,20,16,44.44
"RD Rickelton",10,5,4,44.44
"JP Duminy",43,18,14,43.75
"V Sehwag",65,22,17,43.59
"F du Plessis",66,46,35,43.21
"RS Bopara",15,4,3,42.86
"PJ Cummins",41,4,3,42.86
"JH Kallis",55,23,17,42.50
"DPMD Jayawardene",52,15,11,42.31
"ML Hayden",13,11,8,42.11
"TM Dilshan",31,11,8,42.11
"SK Raina",107,54,39,41.94
"AM Rahane",104,49,35,41.67
"KS Williamson",40,21,15,41.67
"VR Iyer",33,14,10,41.67
"SA Yadav",79,45,32,41.56
"N Rana",69,27,19,41.30
"S Badrinath",38,16,11,40.74
"JM Bairstow",25,16,11,40.74
"S Dhawan",108,67,46,40.71
"Azhar Mahmood",16,3,2,40.00
"JJ Roy",11,6,4,40.00
"RM Patidar",18,15,10,40.00
"DJ Mitchell",10,3,2,40.00
"Rahmanullah Gurbaz",13,3,2,40.00
"Dhruv Jurel",25,9,6,40.00
"DJ Hooda",83,11,7,38.89
"RG Sharma",154,71,45,38.79
"GJ Maxwell",90,27,17,38.64
"ST Jayasuriya",17,8,5,38.46
"P Simran Singh",30,16,10,38.46
"AJ Finch",56,21,13,38.24
"CL White",29,10,6,37.50
"SW Billings",19,5,3,37.50
"A Mhatre",4,5,3,37.50
"SS Iyer",68,42,25,37.31
"SR Watson",82,37,22,37.29
"SV Samson",98,49,29,37.18
"GC Smith",18,7,4,36.36
"CA Lynn",20,14,8,36.36
"N Wadhera",23,7,4,36.36
"DR Smith",46,27,15,35.71
