bowler,career_economy,death_economy,career_strike_rate,death_strike_rate,economy_change,strike_rate_change
"M Theekshana",8.27,8.24,24.33,9.27,-0.03,-15.06
"Sohail Tanvir",6.46,6.56,11.23,6.00,0.10,-5.23
"SW Tait",8.12,8.33,20.57,10.50,0.21,-10.07
"Kuldeep Yadav",8.14,8.41,20.40,10.11,0.27,-10.29
"DE Bollinger",7.22,7.51,15.57,10.00,0.29,-5.57
"M Pathirana",8.68,9.04,14.94,10.13,0.36,-4.81
"MA Starc",8.67,9.05,16.37,9.83,0.38,-6.54
"S Kaul",8.63,9.04,20.84,14.04,0.41,-6.80
"Yash Thakur",10.43,10.85,17.72,12.08,0.42,-5.64
"CH Morris",8.03,8.56,17.98,10.65,0.53,-7.33
"Navdeep Saini",8.80,9.35,27.92,14.00,0.55,-13.92
"KH Pandya",7.54,8.15,25.00,7.57,0.61,-17.43
"WD Parnell",7.78,8.44,20.66,12.60,0.66,-8.06
"SL Malinga",7.14,7.83,16.63,10.19,0.69,-6.44
"Harshit Rana",9.51,10.20,16.23,12.09,0.69,-4.14
"KK Cooper",7.89,8.59,17.45,15.38,0.70,-2.07
"Avesh Khan",9.12,9.89,18.31,14.00,0.77,-4.31
"Arshdeep Singh",9.03,9.82,17.86,10.61,0.79,-7.25
"Imran Tahir",7.76,8.58,16.05,9.41,0.82,-6.64
Naveen-ul-Haq,9.16,10.00,15.48,12.27,0.84,-3.21
"L Ngidi",8.43,9.36,13.71,8.22,0.93,-5.49
"A Nehra",7.85,8.88,18.00,9.11,1.03,-8.89
"JJ Bumrah",7.30,8.36,18.67,14.17,1.06,-4.50
"VG Arora",9.87,10.96,17.48,12.38,1.09,-5.10
"DP Nannes",7.29,8.41,23.07,15.33,1.12,-7.74
"K Rabada",8.70,9.83,15.88,9.78,1.13,-6.10
"MG Johnson",8.30,9.44,19.92,9.63,1.14,-10.29
"AR Patel",7.38,8.52,25.99,13.38,1.14,-12.61
"JO Holder",8.81,9.97,18.77,9.83,1.16,-8.94
"SP Narine",6.80,7.97,22.77,12.31,1.17,-10.46
"Z Khan",7.59,8.80,21.57,15.29,1.21,-6.28
"JP Faulkner",8.72,9.96,20.30,13.00,1.24,-7.30
"AJ Tye",8.59,9.84,16.29,10.57,1.25,-5.72
"HV Patel",8.92,10.19,16.36,9.94,1.27,-6.42
"R Bhatia",7.41,8.72,23.04,8.83,1.31,-14.21
"JA Morkel",8.21,9.54,20.27,10.17,1.33,-10.10
"SN Thakur",9.57,10.90,18.89,12.37,1.33,-6.52
"A Nortje",9.09,10.43,18.36,16.57,1.34,-1.79
"RP Singh",7.90,9.25,19.72,11.00,1.35,-8.72
"DJ Bravo",8.38,9.74,17.05,10.93,1.36,-6.12
"S Aravind",8.20,9.56,16.89,9.08,1.36,-7.81
"T Natarajan",8.94,10.30,19.89,11.83,1.36,-8.06
"RA Jadeja",7.68,9.05,23.69,14.24,1.37,-9.45
"Rashid Khan",7.08,8.47,20.23,13.38,1.39,-6.85
"MJ McClenaghan",8.49,9.89,17.94,11.38,1.40,-6.56
"Mustafizur Rahman",8.13,9.53,20.98,15.94,1.40,-5.04
"IK Pathan",7.78,9.25,25.54,15.12,1.47,-10.42
"Mohammed Siraj",8.77,10.27,21.29,13.82,1.50,-7.47
"SM Curran",9.74,11.25,21.24,9.85,1.51,-11.39
"Harbhajan Singh",7.08,8.64,22.77,9.32,1.56,-13.45
"A Kumble",6.58,8.15,21.44,7.57,1.57,-13.87
"AD Russell",9.51,11.09,14.68,10.55,1.58,-4.13
"M Morkel",7.69,9.30,21.16,13.44,1.61,-7.72
"BA Stokes",8.64,10.26,24.61,14.73,1.62,-9.88
"RJ Harris",7.55,9.19,18.49,10.42,1.64,-8.07
"MM Sharma",8.77,10.41,17.93,11.80,1.64,-6.13
"Yash Dayal",9.58,11.29,21.24,15.69,1.71,-5.55
"B Kumar",7.72,9.45,21.18,13.45,1.73,-7.73
"NM Coulter-Nile",7.70,9.43,17.85,12.44,1.73,-5.41
"R Ashwin",7.20,8.94,25.19,18.72,1.74,-6.47
"JR Hazlewood",8.26,10.05,15.25,11.47,1.79,-3.78
"Basil Thampi",9.74,11.54,23.68,11.92,1.80,-11.76
"PP Ojha",7.37,9.18,21.34,10.63,1.81,-10.71
"DL Chahar",8.24,10.05,21.96,12.07,1.81,-9.89
"TU Deshpande",9.96,11.79,18.87,10.71,1.83,-8.16
"M Muralitharan",6.70,8.55,23.88,11.07,1.85,-12.81
"DW Steyn",6.94,8.80,22.49,12.37,1.86,-10.12
"JH Kallis",7.90,9.78,26.80,13.91,1.88,-12.89
"PP Chawla",7.96,9.84,20.05,9.43,1.88,-10.62
"YS Chahal",8.00,9.91,17.27,10.08,1.91,-7.19
"CR Woakes",8.97,10.93,14.67,10.13,1.96,-4.54
"Azhar Mahmood",7.82,9.79,18.52,10.69,1.97,-7.83
"TG Southee",8.67,10.65,25.66,19.41,1.98,-6.25
"SK Trivedi",7.59,9.62,23.17,13.25,2.03,-9.92
"KK Ahmed",8.96,11.02,18.21,10.83,2.06,-7.38
"LH Ferguson",8.96,11.03,19.00,18.93,2.07,-0.07
"R Vinay Kumar",8.42,10.54,20.26,13.02,2.12,-7.24
"PJ Cummins",8.81,10.94,20.47,16.71,2.13,-3.76
"JC Archer",7.94,10.10,20.00,17.25,2.16,-2.75
"L Balaji",8.05,10.24,19.89,14.55,2.19,-5.34
"TA Boult",8.48,10.68,19.03,12.02,2.20,-7.01
"A Singh",7.86,10.15,16.89,9.31,2.29,-7.58
"SR Watson",7.93,10.23,22.05,14.03,2.30,-8.02
"M Prasidh Krishna",8.82,11.14,18.84,12.97,2.32,-5.87
"Mohammed Shami",8.55,10.88,19.91,9.97,2.33,-9.94
"CJ Jordan",9.62,11.95,22.47,19.08,2.33,-3.39
"A Mishra",7.38,9.76,19.37,10.25,2.38,-9.12
"UT Yadav",8.51,10.90,21.22,13.73,2.39,-7.49
"Mukesh Kumar",10.31,12.72,17.56,14.40,2.41,-3.16
"P Kumar",7.73,10.15,28.04,15.38,2.42,-12.66
"KA Pollard",8.79,11.27,21.57,11.74,2.48,-9.83
"DS Kulkarni",8.31,10.80,20.78,13.83,2.49,-6.95
"JD Unadkat",8.94,11.52,20.62,11.26,2.58,-9.36
"VR Aaron",8.94,11.52,22.59,13.67,2.58,-8.92
"NLTC Perera",8.73,11.36,22.52,11.06,2.63,-11.46
"Shivam Mavi",8.71,11.34,21.63,13.58,2.63,-8.05
"P Awana",8.27,10.98,19.15,11.77,2.71,-7.38
"I Sharma",8.38,11.17,25.20,17.30,2.79,-7.90
"Sandeep Sharma",8.13,10.99,20.83,12.28,2.86,-8.55
"AB Dinda",8.20,11.21,21.97,16.42,3.01,-5.55
"MP Stoinis",9.84,13.23,20.32,10.43,3.39,-9.89
"MM Patel",7.52,10.97,18.31,13.61,3.45,-4.70
"HH Pandya",9.27,12.87,21.25,9.57,3.60,-11.68
