match_id,innings,batting_team,match_won_by,powerplay_runs,powerplay_wickets,powerplay_control,middle_runs,middle_wickets,middle_control,death_runs,death_wickets,death_control
335982,1,"Kolkata Knight Riders","Kolkata Knight Riders",61,1,won,93,1,won,68,1,won
335982,2,"Royal Challengers Banglore","Kolkata Knight Riders",26,4,lost,55,4,lost,1,1,lost
335983,1,"Chennai Super Kings","Chennai Super Kings",53,1,lost,108,3,won,79,1,won
335983,2,"Punjab Kings /Kings XI Punjab","Chennai Super Kings",63,1,won,102,2,lost,42,1,lost
335984,1,"Rajasthan Royals","Delhi Capitals/Daredevils",40,1,lost,56,4,lost,33,1,won
335984,2,"Delhi Capitals/Daredevils","Delhi Capitals/Daredevils",55,1,won,73,0,won,4,0,lost
335985,1,"Mumbai Indians","Royal Challengers Banglore",47,1,won,58,1,lost,60,3,won
335985,2,"Royal Challengers Banglore","Royal Challengers Banglore",40,1,lost,78,3,won,48,1,lost
335986,1,"Deccan Chargers","Kolkata Knight Riders",39,2,won,38,4,lost,33,3,won
335986,2,"Kolkata Knight Riders","Kolkata Knight Riders",26,3,lost,55,1,won,31,1,lost
335987,1,"Punjab Kings /Kings XI Punjab","Rajasthan Royals",54,1,won,61,3,lost,51,3,won
335987,2,"Rajasthan Royals","Rajasthan Royals",53,3,lost,89,1,won,26,0,lost
335988,1,"Deccan Chargers","Delhi Capitals/Daredevils",25,2,lost,48,3,lost,69,2,won
335988,2,"Delhi Capitals/Daredevils","Delhi Capitals/Daredevils",48,1,won,95,0,won,0,0,lost
335989,1,"Chennai Super Kings","Chennai Super Kings",53,2,won,90,1,won,65,1,lost
335989,2,"Mumbai Indians","Chennai Super Kings",52,1,lost,82,3,lost,68,2,won
335990,1,"Deccan Chargers","Rajasthan Royals",58,2,lost,90,1,won,66,2,won
335990,2,"Rajasthan Royals","Rajasthan Royals",73,1,won,86,2,lost,58,3,lost
335991,1,"Punjab Kings /Kings XI Punjab","Punjab Kings /Kings XI Punjab",60,1,won,78,2,won,44,5,won
335991,2,"Mumbai Indians","Punjab Kings /Kings XI Punjab",39,1,lost,62,5,lost,15,2,lost
335992,1,"Royal Challengers Banglore","Rajasthan Royals",57,2,won,38,4,lost,40,0,won
335992,2,"Rajasthan Royals","Rajasthan Royals",45,2,lost,76,0,won,17,1,lost
335993,1,"Kolkata Knight Riders","Chennai Super Kings",61,3,won,43,3,lost,43,2,won
335993,2,"Chennai Super Kings","Chennai Super Kings",45,0,lost,76,1,won,31,0,lost
335994,1,"Mumbai Indians","Deccan Chargers",27,3,lost,72,2,lost,55,2,won
335994,2,"Deccan Chargers","Deccan Chargers",60,0,won,95,0,won,0,0,lost
335995,1,"Delhi Capitals/Daredevils","Punjab Kings /Kings XI Punjab",45,3,lost,62,2,lost,51,2,won
335995,2,"Punjab Kings /Kings XI Punjab","Punjab Kings /Kings XI Punjab",55,2,won,68,1,won,39,2,lost
335996,1,"Chennai Super Kings","Chennai Super Kings",36,1,lost,66,1,lost,76,2,won
335996,2,"Royal Challengers Banglore","Chennai Super Kings",45,1,won,87,2,won,33,5,lost
335997,1,"Kolkata Knight Riders","Mumbai Indians",40,3,won,47,2,lost,50,2,won
335997,2,"Mumbai Indians","Mumbai Indians",38,3,lost,72,0,won,28,0,lost
335998,1,"Delhi Capitals/Daredevils","Delhi Capitals/Daredevils",58,0,won,93,1,won,40,3,lost
335998,2,"Royal Challengers Banglore","Delhi Capitals/Daredevils",55,3,lost,79,0,lost,47,2,won
335999,1,"Deccan Chargers","Punjab Kings /Kings XI Punjab",50,1,won,61,4,lost,53,2,won
335999,2,"Punjab Kings /Kings XI Punjab","Punjab Kings /Kings XI Punjab",41,0,lost,88,2,won,38,0,lost
336000,1,"Rajasthan Royals","Rajasthan Royals",45,1,lost,97,3,won,54,2,won
336000,2,"Kolkata Knight Riders","Rajasthan Royals",51,2,won,77,1,lost,23,4,lost
336001,1,"Chennai Super Kings","Delhi Capitals/Daredevils",47,1,lost,79,2,won,43,2,won
336001,2,"Delhi Capitals/Daredevils","Delhi Capitals/Daredevils",64,0,won,78,2,lost,30,0,lost
336002,1,"Deccan Chargers","Royal Challengers Banglore",41,0,lost,82,4,won,42,4,lost
336002,2,"Royal Challengers Banglore","Royal Challengers Banglore",43,0,won,63,1,lost,65,2,won
336003,1,"Punjab Kings /Kings XI Punjab","Punjab Kings /Kings XI Punjab",49,1,won,70,3,won,59,1,lost
336003,2,"Kolkata Knight Riders","Punjab Kings /Kings XI Punjab",31,4,lost,70,1,won,68,1,won
336004,1,"Mumbai Indians","Mumbai Indians",50,2,won,62,3,lost,50,3,won
336004,2,"Delhi Capitals/Daredevils","Mumbai Indians",37,2,lost,77,2,won,19,5,lost
336005,1,"Chennai Super Kings","Rajasthan Royals",38,4,lost,53,3,lost,18,3,won
336005,2,"Rajasthan Royals","Rajasthan Royals",44,0,won,66,2,won,0,0,lost
336006,1,"Royal Challengers Banglore","Punjab Kings /Kings XI Punjab",26,2,lost,71,1,won,29,4,won
336006,2,"Punjab Kings /Kings XI Punjab","Punjab Kings /Kings XI Punjab",52,1,won,57,3,lost,18,0,lost
336007,1,"Chennai Super Kings","Deccan Chargers",34,3,lost,52,3,lost,58,1,won
