batter,runs,rank
"MS Dhoni",1454,1
"V Kohli",1196,2
"RG Sharma",1049,3
"DA Miller",1027,4
"RA Jadeja",936,5
"KA Pollard",930,6
"KL Rahul",852,7
"SV Samson",826,8
"KD Karthik",781,9
"AT Rayudu",743,10
"SA Yadav",718,11
"MK Pandey",700,12
"DA Warner",698,13
"N Rana",692,14
"AD Russell",684,15
"RR Pant",675,16
"AB de Villiers",653,17
"N Pooran",635,18
"MP Stoinis",620,19
"AR Patel",618,20
"HH Pandya",609,21
"AM Rahane",608,22
"F du Plessis",603,23
"YK Pathan",570,24
"RV Uthappa",566,25
"SS Iyer",556,26
"R Tewatia",540,27
"Ishan Kishan",535,28
"Shubman Gill",518,29
"JC Buttler",505,30
"SPD Smith",501,31
"Tilak Varma",501,31
"GJ Maxwell",498,33
"SE Marsh",497,34
"B Sai Sudharsan",475,35
"MA Agarwal",465,36
"SK Raina",451,37
"KS Williamson",440,38
"Abhishek Sharma",439,39
"Q de Kock",438,40
"SO Hetmyer",428,41
"R Parag",410,42
"Yuvraj Singh",400,43
"S Dube",387,44
"CH Gayle",378,45
"Y Venugopal Rao",374,46
"RK Singh",365,47
"DJ Hooda",358,48
"Dhruv Jurel",358,48
"WP Saha",354,50
"BJ Hodge",353,51
"IK Pathan",345,52
"Shashank Singh",336,53
"SS Tiwary",327,54
"KM Jadhav",325,55
"RA Tripathi",324,56
"JP Duminy",320,57
"SR Watson",314,58
"T Stubbs",309,59
"H Klaasen",308,60
"V Shankar",306,61
"Rashid Khan",305,62
"DJ Hussey",301,63
"JA Morkel",300,64
"KH Pandya",296,65
"DJ Bravo",295,66
"Mandeep Singh",295,66
"AK Markram",295,66
"R Dravid",294,69
"JH Kallis",289,70
"JM Bairstow",279,71
"KK Nair",273,72
"P Simran Singh",270,73
"TH David",269,74
"EJG Morgan",267,75
"Harbhajan Singh",265,76
"AJ Finch",263,77
"YBK Jaiswal",263,77
"S Dhawan",261,79
"Abdul Samad",260,80
"MK Tiwary",254,81
"LRPL Taylor",250,82
"A Badoni",248,83
"Washington Sundar",246,84
"AD Mathews",243,85
"SP Narine",240,86
"C Green",236,87
"CH Morris",229,88
"STR Binny",224,89
"PA Patel",218,90
"SE Rutherford",218,90
"Ashutosh Sharma",217,92
"VR Iyer",216,93
"PJ Cummins",213,94
"JP Faulkner",208,95
"SM Curran",203,96
"DPMD Jayawardene",200,97
"R Ashwin",200,97
"N Wadhera",198,99
"B Kumar",196,100
"LS Livingstone",196,100
"BB McCullum",191,102
"PP Shaw",191,102
"SC Ganguly",190,104
"BA Stokes",190,104
"S Badrinath",184,106
"PP Chawla",183,107
"JM Sharma",183,107
"KV Sharma",182,109
"NV Ojha",182,109
"MR Marsh",182,109
"DR Smith",179,112
"AM Nayar",178,113
"RD Gaikwad",175,114
"JR Hopes",169,115
"R Powell",169,115
"RR Rossouw",167,117
"M Vijay",166,118
"M Shahrukh Khan",163,119
"KP Pietersen",151,120
"Shahbaz Ahmed",150,121
"RM Patidar",150,121
"AC Gilchrist",148,123
"A Mishra",144,124
"MM Ali",144,124
"Naman Dhir",144,124
"Atharva Taide",142,127
"V Sehwag",141,128
"TL Suman",139,129
"R Ravindra",139,129
"JC Archer",136,131
"MK Lomror",134,132
"NLTC Perera",133,133
"Lalit Yadav",132,134
"D Padikkal",131,135
"SW Billings",130,136
"R Vinay Kumar",129,137
"TM Head",128,138
"Gurkeerat Singh",127,139
"LMP Simmons",127,139
"P Kumar",126,141
"A Symonds",126,141
"Shakib Al Hasan",125,143
"UT Yadav",124,144
"SN Khan",124,144
"A Raghuvanshi",124,144
"MS Bisla",122,147
"CL White",121,148
"OA Shah",121,148
"R Bhatia",120,150
"Abishek Porel",120,150
"KC Sangakkara",119,152
"PD Salt",119,152
"SB Dubey",119,152
"K Gowtham",118,155
"RS Bopara",117,156
"DB Ravi Teja",115,157
"Bipul Sharma",110,158
"JJ Roy",110,158
"M Morkel",108,160
"RD Rickelton",104,161
"MV Boucher",103,162
"JD Unadkat",103,162
"V Nigam",103,162
"D Brevis",102,165
"Kuldeep Yadav",101,166
"DJ Mitchell",101,166
"SR Tendulkar",99,168
"SN Thakur",97,169
"WG Jacks",97,169
"GJ Bailey",96,171
"DP Conway",95,172
"A Mhatre",95,172
"Y Nagar",94,174
"DT Christian",93,175
"HV Patel",92,176
"KR Mayers",89,177
"M Vohra",87,178
"NK Patel",86,179
"JEC Franklin",86,179
"CA Lynn",86,179
"K Rabada",86,179
"TK Curran",83,183
"Mohammad Nabi",83,183
"Sikandar Raza",83,183
"Sameer Rizvi",83,183
"CA Pujara",80,187
"Arshad Khan",80,187
"Mohammed Siraj",79,189
"AS Raut",78,190
"D Wiese",78,190
"P Nissanka",78,190
"GC Smith",77,193
"P Negi",76,194
"N Jagadeesan",76,194
"AL Menaria",75,196
"MC Henriques",74,197
"S Gopal",73,198
"MJ Santner",73,198
"TM Dilshan",72,200
"C de Grandhomme",72,200
"SS Prabhudessai",70,202
"Ramandeep Singh",70,202
"D Ferreira",70,202
"Nithish Kumar Reddy",69,205
"M Kaif",68,206
"DS Kulkarni",68,206
"E Lewis",68,206
"PK Garg",67,209
"J Fraser-McGurk",66,210
"DW Steyn",65,211
"Azhar Mahmood",65,211
"SL Malinga",64,213
"R Sathish",64,213
"MA Starc",64,213
"MM Sharma",63,216
"M Manhas",62,217
"AA Jhunjhunwala",62,217
