powerplay_rr,middle_rr,death_rr,team
8.89,8.42,11.47,"Kolkata Knight Riders"
8.44,8.49,11.24,"Chennai Super Kings"
8.87,8.55,11.92,"Delhi Capitals/Daredevils"
8.67,8.98,13.24,"Royal Challengers Banglore"
8.85,8.25,9.74,"Deccan Chargers"
8.52,8.66,11.63,"Rajasthan Royals"
8.65,8.81,11.89,"Mumbai Indians"
9.19,9.10,11.86,"Punjab Kings /Kings XI Punjab"
8.33,7.31,7.93,"Pune Warriors"
10.54,8.84,12.50,"Kochi Tuskers Kerala"
10.00,8.88,11.03,"Sunrisers Hyderabad"
8.58,7.25,11.29,"Rising Pune Supergiants"
9.92,8.84,10.32,"Gujarat Lions"
8.90,8.91,12.19,"Gujarat Titans"
9.12,9.99,11.94,"Lucknow Super Giants"
