batter,bowler,runs,outs,average,Strike_rate,innings
"V Kohli","R Ashwin",181,1,181.0000,115.2866,23
"RG Sharma","SP Narine",145,8,18.1250,104.3165,22
"V Kohli","RA Jadeja",179,3,59.6667,109.8160,21
"RG Sharma","R Ashwin",119,3,39.6667,92.2481,21
"RG Sharma","PP Chawla",146,2,73.0000,126.9565,19
"SK Raina","Harbhajan Singh",132,5,26.4000,105.6000,19
"SV Samson","B Kumar",120,4,30.0000,121.2121,19
"V Kohli","Sandeep Sharma",141,7,20.1429,153.2609,19
"F du Plessis","B Kumar",109,1,109.0000,137.9747,18
"AM Rahane","B Kumar",104,7,14.8571,88.1356,18
"RG Sharma","RA Jadeja",97,3,32.3333,104.3011,18
"V Kohli","JJ Bumrah",164,5,32.8000,147.7477,18
"RG Sharma","A Mishra",87,7,12.4286,95.6044,17
"RG Sharma","UT Yadav",170,5,34.0000,140.4959,17
"V Kohli","SP Narine",136,4,34.0000,105.4264,17
"AB de Villiers","RA Jadeja",111,2,55.5000,119.3548,17
"GJ Maxwell","SP Narine",67,4,16.7500,95.7143,17
"MS Dhoni","SP Narine",40,2,20.0000,51.9481,17
"RG Sharma","B Kumar",96,1,96.0000,129.7297,17
"KD Karthik","R Ashwin",76,1,76.0000,128.8136,16
"MS Dhoni","JJ Bumrah",62,4,15.5000,91.1765,16
"MS Dhoni","YS Chahal",108,4,27.0000,124.1379,16
"S Dhawan","SP Narine",105,2,52.5000,115.3846,16
"AT Rayudu","R Ashwin",90,5,18.0000,103.4483,16
"DA Warner","SP Narine",195,2,97.5000,153.5433,16
"SK Raina","PP Chawla",175,4,43.7500,171.5686,16
"V Kohli","B Kumar",129,4,32.2500,137.2340,16
"S Dhawan","UT Yadav",103,2,51.5000,113.1868,16
"SV Samson","Rashid Khan",121,1,121.0000,111.0092,15
"V Kohli","PP Chawla",140,3,46.6667,132.0755,15
"AR Patel","JJ Bumrah",53,4,13.2500,100.0000,15
"F du Plessis","TA Boult",114,4,28.5000,111.7647,15
"HH Pandya","YS Chahal",71,4,17.7500,92.2078,15
"RV Uthappa","B Kumar",86,1,86.0000,107.5000,15
"AT Rayudu","A Mishra",100,3,33.3333,117.6471,15
"KD Karthik","RA Jadeja",105,3,35.0000,147.8873,15
"MS Dhoni","SL Malinga",89,2,44.5000,139.0625,15
"RG Sharma","DJ Bravo",82,5,16.4000,109.3333,15
"RV Uthappa","R Ashwin",123,7,17.5714,128.1250,15
"S Dhawan","Harbhajan Singh",147,3,49.0000,119.5122,15
"V Kohli","A Mishra",162,3,54.0000,150.0000,15
"AT Rayudu","B Kumar",84,2,42.0000,121.7391,14
"AT Rayudu","PP Chawla",78,6,13.0000,136.8421,14
"DA Warner","R Ashwin",122,3,40.6667,103.3898,14
"PA Patel","B Kumar",65,6,10.8333,89.0411,14
"SK Raina","A Mishra",122,4,30.5000,137.0787,14
"SK Raina","YK Pathan",70,3,23.3333,109.3750,14
"SR Watson","B Kumar",78,4,19.5000,87.6404,14
"SV Samson","SP Narine",70,3,23.3333,78.6517,14
"V Kohli","Harbhajan Singh",87,1,87.0000,126.0870,14
"DA Miller","R Ashwin",82,2,41.0000,112.3288,14
"KL Rahul","Sandeep Sharma",103,1,103.0000,109.5745,14
"RR Pant","YS Chahal",92,3,30.6667,143.7500,14
"V Kohli","UT Yadav",168,3,56.0000,171.4286,14
"AB de Villiers","Harbhajan Singh",110,3,36.6667,135.8025,14
"AM Rahane","UT Yadav",108,2,54.0000,138.4615,14
"AT Rayudu","MM Sharma",71,7,10.1429,142.0000,14
"AT Rayudu","SP Narine",53,4,13.2500,81.5385,14
"CH Gayle","B Kumar",131,1,131.0000,139.3617,14
"KA Pollard","DJ Bravo",136,3,45.3333,147.8261,14
"KD Karthik","B Kumar",82,1,82.0000,128.1250,14
"KL Rahul","JJ Bumrah",150,3,50.0000,118.1102,14
"RR Pant","JJ Bumrah",55,7,7.8571,114.5833,14
"S Dhawan","DS Kulkarni",127,1,127.0000,135.1064,14
"SK Raina","SP Narine",118,2,59.0000,134.0909,14
"SK Raina","UT Yadav",93,3,31.0000,100.0000,14
"AB de Villiers","JJ Bumrah",131,3,43.6667,145.5556,13
"AR Patel","SP Narine",50,4,12.5000,113.6364,13
"AT Rayudu","YS Chahal",63,4,15.7500,75.9036,13
"DA Warner","Harbhajan Singh",113,4,28.2500,115.3061,13
"F du Plessis","Sandeep Sharma",116,2,58.0000,141.4634,13
"G Gambhir","P Kumar",88,2,44.0000,137.5000,13
"KA Pollard","A Mishra",136,2,68.0000,158.1395,13
"KD Karthik","YS Chahal",49,3,16.3333,89.0909,13
"MK Pandey","R Ashwin",66,2,33.0000,108.1967,13
"MS Dhoni","PP Chawla",82,2,41.0000,136.6667,13
"N Rana","YS Chahal",81,6,13.5000,114.0845,13
"Q de Kock","DL Chahar",109,5,21.8000,121.1111,13
"RG Sharma","Sandeep Sharma",38,6,6.3333,80.8511,13
"S Dhawan","PP Chawla",105,3,35.0000,161.5385,13
"S Dhawan","R Ashwin",78,3,26.0000,75.0000,13
"SA Yadav","RA Jadeja",71,3,23.6667,95.9459,13
"SA Yadav","YS Chahal",116,4,29.0000,131.8182,13
"Shubman Gill","TA Boult",75,2,37.5000,104.1667,13
"AB de Villiers","R Ashwin",69,2,34.5000,113.1148,13
"RA Jadeja","SP Narine",49,3,16.3333,92.4528,13
"S Dhawan","B Kumar",89,3,29.6667,102.2989,13
"S Dhawan","SL Malinga",85,4,21.2500,123.1884,13
"SK Raina","B Kumar",79,3,26.3333,129.5082,13
"SK Raina","R Vinay Kumar",98,1,98.0000,158.0645,13
"SPD Smith","RA Jadeja",68,5,13.6000,90.6667,13
"KL Rahul","DL Chahar",160,1,160.0000,149.5327,13
"RG Sharma","Mohammed Shami",84,3,28.0000,120.0000,13
"RR Pant","Rashid Khan",117,2,58.5000,119.3878,13
"S Dhawan","JJ Bumrah",105,1,105.0000,117.9775,13
"SV Samson","AR Patel",91,2,45.5000,121.3333,13
"V Kohli","AR Patel",97,1,97.0000,111.4943,13
"SV Samson","JJ Bumrah",64,2,32.0000,100.0000,13
"V Kohli","KH Pandya",117,1,117.0000,106.3636,13
"V Kohli","Mohammed Shami",119,5,23.8000,135.2273,13
"RG Sharma","Mohammed Siraj",104,1,104.0000,140.5405,13
"SS Iyer","Rashid Khan",105,2,52.5000,115.3846,12
"SV Samson","YS Chahal",61,5,12.2000,115.0943,12
"WP Saha","SP Narine",74,4,18.5000,117.4603,12
"WP Saha","UT Yadav",111,2,55.5000,138.7500,12
"AM Rahane","PP Chawla",146,3,48.6667,144.5545,12
"F du Plessis","YS Chahal",44,3,14.6667,88.0000,12
"GJ Maxwell","R Ashwin",141,4,35.2500,174.0741,12
"JC Buttler","Mohammed Shami",90,3,30.0000,126.7606,12
"KL Rahul","TA Boult",108,3,36.0000,147.9452,12
"Q de Kock","B Kumar",57,1,57.0000,93.4426,12
"RG Sharma","AD Russell",97,1,97.0000,153.9683,12
