bowling_team,batter,runs,bowler,wickets
"Chennai Super Kings","V Kohli",1174,"SL Malinga",31
"Deccan Chargers","R Dravid",339,"SL Malinga",19
"Delhi Capitals/Daredevils","V Kohli",1130,"JJ Bumrah",30
"Gujarat Lions","DA Warner",336,"B Kumar",12
"Gujarat Titans","V Kohli",351,"TU Deshpande",9
"Gujarat Titans","V Kohli",351,"K Rabada",9
"Kochi Tuskers Kerala","SR Tendulkar",100,"I Sharma",5
"Kolkata Knight Riders","RG Sharma",1161,"YS Chahal",33
"Lucknow Super Giants","Shubman Gill",327,"TA Boult",12
"Mumbai Indians","KL Rahul",981,"MM Sharma",33
"Mumbai Indians","KL Rahul",981,"DJ Bravo",33
"Pune Warriors","CH Gayle",383,"SL Malinga",12
"Punjab Kings /Kings XI Punjab","V Kohli",1159,"SP Narine",36
"Rajasthan Royals","V Kohli",928,"A Mishra",31
"Rising Pune Supergiants","V Kohli",271,"JJ Bumrah",7
"Royal Challengers Banglore","MS Dhoni",906,"Sandeep Sharma",30
"Sunrisers Hyderabad","V Kohli",879,"YS Chahal",29
