batter,strike_rate,dot_ball_percentage,runs
"S Dhawan",122.66,44.93,3399
"DA Warner",138.22,45.00,3302
"V Kohli",127.74,41.94,3265
"AM Rahane",123.29,45.56,2636
"RG Sharma",125.75,49.46,2466
"CH Gayle",135.33,53.11,2390
"F du Plessis",136.29,44.07,2276
"G Gambhir",121.59,43.77,2264
"KL Rahul",127.11,43.90,2241
"RV Uthappa",124.51,45.53,2032
"Q de Kock",130.73,45.73,1944
"PA Patel",121.72,48.05,1900
"Shubman Gill",131.67,39.63,1771
"JC Buttler",141.34,46.68,1747
"V Sehwag",144.71,44.34,1586
"M Vijay",114.56,49.13,1574
"SK Raina",133.13,47.55,1551
"BB McCullum",127.12,50.86,1547
"YBK Jaiswal",158.14,46.25,1477
"SV Samson",126.40,47.29,1470
"SR Watson",112.89,53.46,1419
"MA Agarwal",121.91,46.26,1402
"Ishan Kishan",134.98,46.61,1393
"WP Saha",132.54,46.60,1385
"AC Gilchrist",133.72,49.32,1372
"PP Shaw",146.67,42.42,1345
"RD Gaikwad",127.36,43.34,1243
"DR Smith",124.64,52.16,1209
"SP Narine",170.35,48.26,1172
"SR Tendulkar",116.68,48.31,1140
"MK Pandey",114.24,49.70,1131
"Abhishek Sharma",165.24,41.12,1117
"JH Kallis",105.64,52.62,1030
"RA Tripathi",138.00,44.38,995
"SS Iyer",112.83,48.80,985
"P Simran Singh",149.92,44.50,967
"SA Yadav",139.85,46.13,958
"JM Bairstow",151.52,42.86,944
"R Dravid",109.17,53.56,905
"AJ Finch",114.30,52.15,903
"D Padikkal",127.75,46.07,893
"MEK Hussey",108.09,50.13,828
"PD Salt",173.16,40.48,800
"TM Head",180.32,40.28,779
"CA Lynn",143.95,48.04,773
"AT Rayudu",106.04,51.51,772
"SE Marsh",105.18,51.71,771
"N Rana",121.14,53.82,745
"B Sai Sudharsan",136.40,38.79,742
"AB de Villiers",120.68,49.35,741
"M Vohra",127.96,47.41,691
"Mandeep Singh",114.67,50.00,633
"DPMD Jayawardene",121.96,49.90,611
"KK Nair",128.48,49.16,609
"MR Marsh",145.99,43.55,600
"VR Iyer",130.42,48.58,596
"ML Hayden",129.76,49.89,593
"LMP Simmons",118.86,50.88,542
"SC Ganguly",102.32,54.93,529
