runs,rolling_average,batter
69,69.0000,"Vivrant Sharma"
290,58.0000,"HM Amla"
256,51.2000,"SS Iyer"
239,47.8000,"P Simran Singh"
228,45.6000,"V Kohli"
224,44.8000,"H Klaasen"
224,44.8000,"Sameer Rizvi"
222,44.4000,"RM Patidar"
213,42.6000,"Ishan Kishan"
200,40.0000,"V Suryavanshi"
193,38.6000,"B Sai Sudharsan"
192,38.4000,"D Brevis"
190,38.0000,"CA Lynn"
186,37.2000,"JP Inglis"
185,37.0000,"SV Samson"
184,36.8000,"YBK Jaiswal"
182,36.4000,"A Raghuvanshi"
182,36.4000,"Salman Butt"
181,36.2000,"JC Buttler"
179,35.8000,"Shubman Gill"
176,35.2000,"Dhruv Jurel"
175,35.0000,"RR Rossouw"
171,34.2000,"A Mhatre"
136,34.0000,"C Connolly"
67,33.5000,"JG Bethell"
167,33.4000,"MN van Wyk"
164,32.8000,"AC Gilchrist"
163,32.6000,"BA Stokes"
161,32.2000,"Q de Kock"
127,31.7500,"P Nissanka"
158,31.6000,"Azhar Mahmood"
152,30.4000,"AM Rahane"
152,30.4000,"D Padikkal"
152,30.4000,"S Dhawan"
149,29.8000,"SS Tiwary"
148,29.6000,"Atharva Taide"
147,29.4000,"TH David"
146,29.2000,"KL Rahul"
146,29.2000,"Washington Sundar"
145,29.0000,"DR Smith"
145,29.0000,"RG Sharma"
143,28.6000,"DP Conway"
143,28.6000,"PA Patel"
142,28.4000,"WG Jacks"
139,27.8000,"PD Salt"
111,27.7500,"DJ Harris"
137,27.4000,"RD Rickelton"
136,27.2000,"S Sohal"
134,26.8000,"MK Pandey"
134,26.8000,"PD Collingwood"
133,26.6000,"AD Russell"
133,26.6000,"JM Bairstow"
131,26.2000,"KP Pietersen"
131,26.2000,"SN Khan"
26,26.0000,"DJ Malan"
130,26.0000,"SR Tendulkar"
129,25.8000,"Abhishek Sharma"
129,25.8000,"DJ Hussey"
127,25.4000,"MD Choudhary"
127,25.4000,"T Stubbs"
126,25.2000,"SE Rutherford"
125,25.0000,"JJ Roy"
124,24.8000,"Nithish Kumar Reddy"
124,24.8000,"Priyansh Arya"
124,24.8000,"SE Marsh"
124,24.8000,"SP Fleming"
49,24.5000,"PR Veer"
120,24.0000,"AK Markram"
120,24.0000,"BJ Hodge"
120,24.0000,"DJ Mitchell"
24,24.0000,"Tanush Kotian"
120,24.0000,"TM Head"
118,23.6000,"MJ Guptill"
118,23.6000,"V Shankar"
117,23.4000,"BJ Rohrer"
117,23.4000,"NK Patel"
116,23.2000,"MEK Hussey"
115,23.0000,"MJ Lumb"
115,23.0000,"MR Marsh"
115,23.0000,"SD Hope"
114,22.8000,"DA Miller"
114,22.8000,"SM Curran"
68,22.6667,"Urvil Patel"
113,22.6000,"A Badoni"
113,22.6000,"Kamran Akmal"
112,22.4000,"CA Pujara"
112,22.4000,"JR Hopes"
111,22.2000,"HH Gibbs"
22,22.0000,"Sediqullah Atal"
110,22.0000,"SPD Smith"
109,21.8000,"Naman Dhir"
87,21.7500,"AP Majumdar"
106,21.2000,"LJ Wright"
106,21.2000,"R Dravid"
106,21.2000,"SA Yadav"
106,21.2000,"Shashank Singh"
106,21.2000,"SW Billings"
105,21.0000,"DJM Short"
104,20.8000,"M Shahrukh Khan"
104,20.8000,"RR Pant"
104,20.8000,"SP Narine"
104,20.8000,"YV Takawale"
62,20.6667,"A Flintoff"
103,20.6000,"AD Hales"
103,20.6000,"Harpreet Singh"
103,20.6000,"JA Morkel"
103,20.6000,"Sikandar Raza"
102,20.4000,"J Overton"
102,20.4000,"S Dube"
102,20.4000,"VR Iyer"
20,20.0000,"BKG Mendis"
100,20.0000,"MA Agarwal"
100,20.0000,"V Nigam"
99,19.8000,"AC Voges"
99,19.8000,"F du Plessis"
99,19.8000,"Yuvraj Singh"
98,19.6000,"Anuj Rawat"
98,19.6000,"RA Jadeja"
97,19.4000,"MC Juneja"
97,19.4000,"PN Mankad"
97,19.4000,"R Powell"
97,19.4000,"UT Khawaja"
58,19.3333,"C Bosch"
96,19.2000,"HH Pandya"
96,19.2000,"M Vijay"
19,19.0000,"DR Martyn"
19,19.0000,"Gulbadin Naib"
19,19.0000,"P Ray Barman"
19,19.0000,"Y Gnaneswara Rao"
94,18.8000,"TK Curran"
93,18.6000,"KS Bharat"
92,18.4000,"PHKD Mendis"
92,18.4000,"SR Watson"
73,18.2500,"M Klinger"
73,18.2500,"RR Sarwan"
18,18.0000,"BJ Haddin"
90,18.0000,"RJ Quiney"
90,18.0000,"UBT Chand"
90,18.0000,"Y Nagar"
89,17.8000,"PK Garg"
88,17.6000,"MM Ali"
88,17.6000,"SA Asnodkar"
87,17.4000,"Ashutosh Sharma"
87,17.4000,"KH Pandya"
87,17.4000,"RK Singh"
86,17.2000,"AJ Finch"
86,17.2000,"CL White"
34,17.0000,"AP Dole"
85,17.0000,"G Gambhir"
85,17.0000,"OA Shah"
85,17.0000,"R Ravindra"
84,16.8000,"BB McCullum"
84,16.8000,"C Munro"
84,16.8000,"GJ Bailey"
83,16.6000,"CR Brathwaite"
83,16.6000,"MS Wade"
83,16.6000,"N Jagadeesan"
82,16.4000,"DPMD Jayawardene"
82,16.4000,"KR Mayers"
82,16.4000,"MW Short"
81,16.2000,"FH Allen"
81,16.2000,"LA Carseldine"
81,16.2000,"NLTC Perera"
16,16.0000,"AJ Hosein"
80,16.0000,"Aman Hakim Khan"
80,16.0000,"SM Pollock"
48,16.0000,"T Kohler-Cadmore"
79,15.8000,"Anmolpreet Singh"
79,15.8000,"D Ferreira"
79,15.8000,"JH Kallis"
79,15.8000,"PP Shaw"
63,15.7500,"Anirudh Singh"
78,15.6000,"DB Ravi Teja"
78,15.6000,"FY Fazal"
78,15.6000,"Harpreet Brar"
78,15.6000,"JR Philippe"
78,15.6000,"KK Nair"
31,15.5000,"S Sriram"
77,15.4000,"AC Blizzard"
76,15.2000,"Abishek Porel"
76,15.2000,"BB Samantray"
76,15.2000,"JP Duminy"
76,15.2000,"R Sathish"
76,15.2000,"TM Dilshan"
75,15.0000,"AT Rayudu"
15,15.0000,"C Madan"
15,15.0000,"GR Napier"
75,15.0000,Misbah-ul-Haq
75,15.0000,"PBB Rajapaksa"
75,15.0000,"SD Chitnis"
15,15.0000,"SD Lad"
75,15.0000,"TR Birt"
74,14.8000,"CH Gayle"
74,14.8000,"DB Das"
74,14.8000,"Rahmanullah Gurbaz"
74,14.8000,"S Badrinath"
73,14.6000,"E Lewis"
73,14.6000,"SC Ganguly"
58,14.5000,"MG Bracewell"
29,14.5000,"VH Zol"
72,14.4000,"Abdul Samad"
71,14.2000,"Gurkeerat Singh"
71,14.2000,"NV Ojha"
71,14.2000,"SK Rasheed"
71,14.2000,"Y Venugopal Rao"
70,14.0000,"A Ashish Reddy"
42,14.0000,"AB Barath"
70,14.0000,"Aniket Verma"
70,14.0000,"LMP Simmons"
14,14.0000,"MP Breetzke"
70,14.0000,"STR Binny"
69,13.8000,"DJ Jacobs"
69,13.8000,"KK Cooper"
69,13.8000,"MP Stoinis"
67,13.4000,"LRPL Taylor"
40,13.3333,"BR Dunk"
40,13.3333,"LPC Silva"
66,13.2000,"AL Menaria"
66,13.2000,"CJ Ferguson"
66,13.2000,"HR Shokeen"
66,13.2000,"Ramandeep Singh"
13,13.0000,"Arjun Tendulkar"
26,13.0000,"JM Kemp"
26,13.0000,"NL McCullum"
64,12.8000,"AB de Villiers"
64,12.8000,"KD Karthik"
64,12.8000,"LA Pomersbach"
64,12.8000,"W Jaffer"
63,12.6000,"B Lee"
63,12.6000,"Bipul Sharma"
63,12.6000,"PJ Cummins"
63,12.6000,"RD Gaikwad"
62,12.4000,"AS Raut"
62,12.4000,"Iqbal Abdulla"
62,12.4000,"JM Sharma"
62,12.4000,"KA Pollard"
62,12.4000,"MS Dhoni"
62,12.4000,"SB Dubey"
61,12.2000,"A Manohar"
61,12.2000,"AD Mathews"
61,12.2000,"AD Nath"
61,12.2000,"RN ten Doeschate"
12,12.0000,"AR Bawne"
12,12.0000,"DAJ Bracewell"
24,12.0000,"ER Dwivedi"
60,12.0000,"GC Smith"
60,12.0000,"WP Saha"
59,11.8000,"BCJ Cutting"
59,11.8000,"KC Sangakkara"
59,11.8000,"M Vohra"
59,11.8000,"RS Bopara"
59,11.8000,"SS Prabhudessai"
47,11.7500,"Yashpal Singh"
58,11.6000,"KM Jadhav"
