defendable_total,venue
146.6667,"New Wanderers Stadium"
147.3333,"Nehru Stadium"
150.0000,"OUTsurance Oval"
155.0000,"Vidarbha Cricket Association Stadium, Jamtha"
155.2500,Newlands
158.2500,Kingsmead
159.0000,"JSCA International Stadium Complex"
160.9000,"Subrata Roy Sahara Stadium"
163.0000,"Buffalo Park"
163.5000,"Shaheed Veer Narayan Singh International Stadium"
166.0000,"SuperSport Park"
166.0000,"De Beers Diamond Oval"
171.3333,"Sardar Patel Stadium, Motera"
174.3333,"St George's Park"
175.5000,"Sheikh Zayed Stadium"
176.1667,"Maharashtra Cricket Association Stadium"
176.4762,"Dubai International Cricket Stadium"
177.2745,"MA Chidambaram Stadium"
179.6087,"Sawai Mansingh Stadium"
179.6818,"DY Patil Stadium"
181.6111,"Rajiv Gandhi International Staidum"
182.0000,"Barsapara Cricket Stadium, Guwahati"
182.0370,"Punjab Cricket Association IS Bindra Stadium"
183.3000,"Sharjah Cricket Stadium"
183.6512,"Eden Gardens"
184.6667,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow"
185.0000,"Saurashtra Cricket Association Stadium"
186.5789,"Wankhede Stadium"
188.0000,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium"
189.5000,"Maharaja Yadavindra Singh International Cricket Stadium"
189.5000,"Barabati Stadium"
193.1304,"Arun Jaitley Stadium"
194.2727,"M Chinnaswamy Stadium"
196.0000,"Brabourne Stadium"
201.2222,"Himachal Pradesh Cricket Association Stadium"
204.6471,"Narendra Modi Stadium, Ahmedabad"
245.0000,"Holkar Cricket Stadium"
